1,Rhahi,Haas-Bioroid: Precision Design,Rielle “Kit” Peddler: Transhuman,31,3.632653061224488571428571428571428571,3.294460641399415714285714285714285714
2,CobraBubbles,Azmari EdTech: Shaping the Future,Hoshiko Shiro: Untold Protagonist,30,3.918367346938774285714285714285714286,3.312827988338191428571428571428571429
3,testrunning,Ob Superheavy Logistics: Extract. Export. Excel.,Esâ Afontov: Eco-Insurrectionist,30,3.795918367346938571428571428571428571,3.276822157434401428571428571428571429
4,belazor,Sportsmetal: Go Big or Go Home,Hoshiko Shiro: Untold Protagonist,30,3.627551020408162857142857142857142857,3.455685131195334285714285714285714286
5,ryanbantwins,Ob Superheavy Logistics: Extract. Export. Excel.,Lat: Ethical Freelancer,30,3.571428571428571428571428571428571429,3.315451895043731428571428571428571429
6,snoobz,Asa Group: Security Through Vigilance,Rielle “Kit” Peddler: Transhuman,30,3.489795918367345714285714285714285714,3.417930029154517142857142857142857143
7,not_yeti,Azmari EdTech: Shaping the Future,Hoshiko Shiro: Untold Protagonist,30,3.489795918367345714285714285714285714,3.326530612244897142857142857142857143
8,jan tuno,Ob Superheavy Logistics: Extract. Export. Excel.,Esâ Afontov: Eco-Insurrectionist,30,3.46938775510204,3.389552964042758571428571428571428571
9,Bridgeman ,Jinteki: Restoring Humanity,Lat: Ethical Freelancer,30,3.440816326530611428571428571428571429,3.392419825072885714285714285714285714
10,JamesHarrisson,Issuaq Adaptics: Sustaining Diversity,Rielle “Kit” Peddler: Transhuman,30,3.183673469387754285714285714285714286,3.153061224489795714285714285714285714
11,AugustusCaesar,AgInfusion: New Miracles for a New World,Arissana Rocha Nahu: Street Artist,30,3.10204081632653,3.264139941690961428571428571428571429
12,J0N4LD,Ob Superheavy Logistics: Extract. Export. Excel.,Arissana Rocha Nahu: Street Artist,30,3.012244897959182857142857142857142857,3.144169096209911428571428571428571429
13,Quercia,The Outfit: Family Owned and Operated,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",30,2.820408163265305714285714285714285714,3.304635568513118571428571428571428571
14,xiaat,Haas-Bioroid: Precision Design,Arissana Rocha Nahu: Street Artist,28,3.440816326530611428571428571428571429,3.11545189504373
15,Kikai,Azmari EdTech: Shaping the Future,Steve Cambridge: Master Grifter,28,3.306122448979591428571428571428571429,3.044314868804662857142857142857142857
16,GoldenWitch,Haas-Bioroid: Precision Design,Rielle “Kit” Peddler: Transhuman,28,3.20408163265306,3.300874635568511428571428571428571429
17,rubenpieters,Haas-Bioroid: Precision Design,Lat: Ethical Freelancer,28,3.20408163265306,3.264139941690961428571428571428571429
18,TorpedoTyrus ,Sportsmetal: Go Big or Go Home,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",28,3.163265306122448571428571428571428571,3.150194363459668571428571428571428571
19,Angelbot5000,Jinteki: Restoring Humanity,Esâ Afontov: Eco-Insurrectionist,28,3.0,3.08804664723032
20,Toron,Asa Group: Security Through Vigilance,Hoshiko Shiro: Untold Protagonist,27,3.265306122448978571428571428571428571,3.126579203109814285714285714285714286
21,Krasty,Ob Superheavy Logistics: Extract. Export. Excel.,Hoshiko Shiro: Untold Protagonist,27,3.056122448979591428571428571428571429,3.279300291545188571428571428571428571
22,HaverOfFun,Thule Subsea: Safety Below,Arissana Rocha Nahu: Street Artist,27,3.0,3.202186588921281428571428571428571429
23,Countzer0,Azmari EdTech: Shaping the Future,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",27,2.846938775510202857142857142857142857,3.052915451895042857142857142857142857
24,mcg,The Outfit: Family Owned and Operated,Rielle “Kit” Peddler: Transhuman,27,2.530612244897958571428571428571428571,2.981049562682214285714285714285714286
25,mallory (l0velace),Jinteki: Restoring Humanity,Arissana Rocha Nahu: Street Artist,25,3.306122448979591428571428571428571429,3.002332361516034285714285714285714286
26,Suipe,Asa Group: Security Through Vigilance,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",25,3.053061224489795714285714285714285714,3.151603498542272857142857142857142857
27,Percomis,Haas-Bioroid: Precision Design,Lat: Ethical Freelancer,24,3.653061224489795714285714285714285714,3.226822157434401428571428571428571429
28,OF15-15 (FT #3),NBN: Reality Plus,Hoshiko Shiro: Untold Protagonist,24,3.612244897959182857142857142857142857,3.353790087463555714285714285714285714
29,wowarlok,Haas-Bioroid: Precision Design,Arissana Rocha Nahu: Street Artist,24,3.571428571428571428571428571428571429,3.141690962099124285714285714285714286
30,SeaRose (FT #5),Sportsmetal: Go Big or Go Home,Hoshiko Shiro: Untold Protagonist,24,3.408163265306121428571428571428571429,3.086297376093292857142857142857142857
31,davz131,Azmari EdTech: Shaping the Future,Esâ Afontov: Eco-Insurrectionist,24,3.387755102040815714285714285714285714,3.3667638483965
32,oggy,Ob Superheavy Logistics: Extract. Export. Excel.,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",24,3.306122448979591428571428571428571429,2.928862973760931428571428571428571429
33,AlPi,Issuaq Adaptics: Sustaining Diversity,Lat: Ethical Freelancer,24,3.265306122448978571428571428571428571,3.137609329446062857142857142857142857
34,thearete,NBN: Reality Plus,René “Loup” Arcemont: Party Animal,24,3.224489795918367142857142857142857143,3.065306122448978571428571428571428571
35,aksu,Haas-Bioroid: Precision Design,Hoshiko Shiro: Untold Protagonist,24,3.214285714285714285714285714285714286,3.159766763848395714285714285714285714
36,Virulentz,AgInfusion: New Miracles for a New World,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",24,3.183673469387754285714285714285714286,3.126822157434401428571428571428571429
37,Tradon,Asa Group: Security Through Vigilance,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",24,3.114285714285714285714285714285714286,3.142759961127305714285714285714285714
38,Minstrel,Asa Group: Security Through Vigilance,Arissana Rocha Nahu: Street Artist,24,3.040816326530611428571428571428571429,2.928085519922254285714285714285714286
39,Bartimaeus,Azmari EdTech: Shaping the Future,Hoshiko Shiro: Untold Protagonist,24,2.755102040816325714285714285714285714,3.217687074829931428571428571428571429
40,Gathzen,Pravdivost Consulting: Political Solutions,Lat: Ethical Freelancer,24,2.755102040816325714285714285714285714,3.023323615160348571428571428571428571
41,Nicky3.0,Sportsmetal: Go Big or Go Home,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",24,2.73469387755102,2.970553935860057142857142857142857143
42,MotionBlur,Haas-Bioroid: Precision Design,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",24,2.627551020408162857142857142857142857,2.965986394557822857142857142857142857
43,pfriedag,Weyland Consortium: Built to Last,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",23,2.73469387755102,2.892419825072885714285714285714285714
44,Sasha,Thule Subsea: Safety Below,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",22,3.346938775510202857142857142857142857,3.006413994169095714285714285714285714
45,Baa Ram Wu (FT #4),Thule Subsea: Safety Below,Arissana Rocha Nahu: Street Artist,22,3.0,3.076384839650144285714285714285714286
46,Zoehope,Jinteki: Personal Evolution,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",22,2.775510204081631428571428571428571429,2.999999999999998571428571428571428571
47,Simili (FT #53),Near-Earth Hub: Broadcast Center,Esâ Afontov: Eco-Insurrectionist,22,2.693877551020407142857142857142857143,3.057142857142855714285714285714285714
48,Silent Arbiter,Jinteki: Restoring Humanity,René “Loup” Arcemont: Party Animal,21,3.775510204081631428571428571428571429,3.206851311953351428571428571428571429
49,Veronica212,Haas-Bioroid: Precision Design,Lat: Ethical Freelancer,21,3.306122448979591428571428571428571429,3.140233236151602857142857142857142857
50,ArminFirecracker,A Teia: IP Recovery,Arissana Rocha Nahu: Street Artist,21,3.285714285714285714285714285714285714,3.09868804664723
51,galehar,Jinteki: Personal Evolution,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",21,3.244897959183672857142857142857142857,3.030320699708454285714285714285714286
52,Tratt,Jinteki: Personal Evolution,Hoshiko Shiro: Untold Protagonist,21,3.183673469387754285714285714285714286,3.144169096209911428571428571428571429
53,KamiKami,Azmari EdTech: Shaping the Future,Arissana Rocha Nahu: Street Artist,21,3.10204081632653,2.913994169096208571428571428571428571
54,Dunsch,Jinteki: Personal Evolution,Esâ Afontov: Eco-Insurrectionist,21,3.0,2.843877551020407142857142857142857143
55,BraveRising,Sportsmetal: Go Big or Go Home,Lat: Ethical Freelancer,21,2.857142857142857142857142857142857143,2.878134110787171428571428571428571429
56,mr_pelle,Asa Group: Security Through Vigilance,Arissana Rocha Nahu: Street Artist,21,2.857142857142857142857142857142857143,2.83600583090379
57,cros,Jinteki: Personal Evolution,Hoshiko Shiro: Untold Protagonist,21,2.759183673469387142857142857142857143,3.085976676384838571428571428571428571
58,Fridan,Azmari EdTech: Shaping the Future,Rielle “Kit” Peddler: Transhuman,21,2.612244897959182857142857142857142857,2.664139941690961428571428571428571429
59,zensiert,The Outfit: Family Owned and Operated,Hoshiko Shiro: Untold Protagonist,21,2.571428571428571428571428571428571429,2.830612244897958571428571428571428571
60,Watzlav,Asa Group: Security Through Vigilance,Lat: Ethical Freelancer,21,2.563265306122448571428571428571428571,2.956676384839648571428571428571428571
61,Angels,Sportsmetal: Go Big or Go Home,Rielle “Kit” Peddler: Transhuman,21,2.473469387755101428571428571428571429,3.048853255587948571428571428571428571
62,spongetrim,Weyland Consortium: Built to Last,419: Amoral Scammer,20,3.428571428571428571428571428571428571,3.10408163265306
63,Girometics,Asa Group: Security Through Vigilance,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",19,3.20408163265306,2.975510204081631428571428571428571429
64,Erniemist,Haas-Bioroid: Precision Design,Lat: Ethical Freelancer,19,3.020408163265305714285714285714285714,2.912536443148687142857142857142857143
65,AceEmpress,Thunderbolt Armaments: Peace Through Power,Akiko Nisei: Head Case,19,2.979591836734692857142857142857142857,2.879737609329445714285714285714285714
66,viljums,Ob Superheavy Logistics: Extract. Export. Excel.,Lat: Ethical Freelancer,19,2.83673469387755,3.002721088435372857142857142857142857
67,Rene Reed,Issuaq Adaptics: Sustaining Diversity,Lat: Ethical Freelancer,18,3.346938775510202857142857142857142857,2.907288629737608571428571428571428571
68,valerian32,Jinteki: Personal Evolution,Steve Cambridge: Master Grifter,18,3.265306122448978571428571428571428571,2.821282798833818571428571428571428571
69,Sumpurnis (FT #2),Asa Group: Security Through Vigilance,Esâ Afontov: Eco-Insurrectionist,18,3.085714285714285714285714285714285714,3.121865889212827142857142857142857143
70,TheRobin,Weyland Consortium: Built to Last,Lat: Ethical Freelancer,18,3.081632653061224285714285714285714286,2.75204081632653
71,ataraxis,Jinteki: Restoring Humanity,Esâ Afontov: Eco-Insurrectionist,18,2.918367346938774285714285714285714286,2.767930029154518571428571428571428571
72,Baralai,Asa Group: Security Through Vigilance,Lat: Ethical Freelancer,18,2.726530612244897142857142857142857143,2.867638483965012857142857142857142857
73,emmel,Haas-Bioroid: Precision Design,Hoshiko Shiro: Untold Protagonist,18,2.706122448979591428571428571428571429,2.851895043731777142857142857142857143
74,edobram,Thule Subsea: Safety Below,Lat: Ethical Freelancer,18,2.653061224489795714285714285714285714,2.922157434402331428571428571428571429
75,Porkobolo,The Outfit: Family Owned and Operated,Rielle “Kit” Peddler: Transhuman,18,2.63095238095238,2.890929705215418333333333333333333333
76,MattOhNo,Nuvem SA: Law of the Land,Rielle “Kit” Peddler: Transhuman,18,2.591836734693877142857142857142857143,2.83411078717201
77,Cobalt,Jinteki: Personal Evolution,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",18,2.571428571428571428571428571428571429,2.946355685131194285714285714285714286
78,MrVellis (Alex),Ob Superheavy Logistics: Extract. Export. Excel.,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",18,2.297959183673468571428571428571428571,2.8867055393586
79,Karo123,A Teia: IP Recovery,Mercury: Chrome Libertador,16,3.10204081632653,2.811273080660834285714285714285714286
80,awildturtok,Haas-Bioroid: Precision Design,Esâ Afontov: Eco-Insurrectionist,16,2.673469387755101428571428571428571429,2.859183673469387142857142857142857143
81,Goeshi,The Outfit: Family Owned and Operated,Hoshiko Shiro: Untold Protagonist,16,2.542857142857142857142857142857142857,2.743343051506315714285714285714285714
82,Kay,Sportsmetal: Go Big or Go Home,Rielle “Kit” Peddler: Transhuman,16,2.448979591836734285714285714285714286,2.73858114674441
83,TwadaCZ,AgInfusion: New Miracles for a New World,Rielle “Kit” Peddler: Transhuman,16,2.1,2.803197278911563333333333333333333333
84,cursor,Sportsmetal: Go Big or Go Home,Hoshiko Shiro: Untold Protagonist,15,3.461224489795917142857142857142857143,2.926647230320698571428571428571428571
85,Drager,Asa Group: Security Through Vigilance,Rielle “Kit” Peddler: Transhuman,15,3.10204081632653,2.847230320699707142857142857142857143
86,D7t,Earth Station: SEA Headquarters,Akiko Nisei: Head Case,15,3.10204081632653,2.756851311953351428571428571428571429
87,Sauc3,Haas-Bioroid: Precision Design,Lat: Ethical Freelancer,15,2.971428571428571428571428571428571429,2.858309037900872857142857142857142857
88,Tanzzen,Issuaq Adaptics: Sustaining Diversity,Rielle “Kit” Peddler: Transhuman,15,2.73469387755102,2.832798833819241428571428571428571429
89,seal,Haas-Bioroid: Precision Design,Lat: Ethical Freelancer,15,2.224489795918367142857142857142857143,2.664771622934887142857142857142857143
90,mao,The Outfit: Family Owned and Operated,Arissana Rocha Nahu: Street Artist,13,3.224489795918367142857142857142857143,2.756559766763847142857142857142857143
91,creditzathotmail,Ob Superheavy Logistics: Extract. Export. Excel.,René “Loup” Arcemont: Party Animal,13,2.173469387755101428571428571428571429,2.556268221574342857142857142857142857
92,Benfe,Sportsmetal: Go Big or Go Home,Lat: Ethical Freelancer,12,3.038095238095236666666666666666666667,2.840136054421766666666666666666666667
93,Lutheus,Haas-Bioroid: Precision Design,Zahya Sadeghi: Versatile Smuggler,12,2.785714285714285,2.741836734693876666666666666666666667
94,Bergmeister,Weyland Consortium: Built to Last,Hoshiko Shiro: Untold Protagonist,12,2.761904761904761666666666666666666667,2.626757369614511666666666666666666667
95,Spawacz,Issuaq Adaptics: Sustaining Diversity,Rielle “Kit” Peddler: Transhuman,12,2.642857142857141666666666666666666667,2.926870748299318333333333333333333333
96,giulianomolletta,Weyland Consortium: Built to Last,Tāo Salonga: Telepresence Magician,12,2.591836734693877142857142857142857143,2.805247813411077142857142857142857143
97,IvanP (FT #54),Asa Group: Security Through Vigilance,Lat: Ethical Freelancer,12,2.55,3.134013605442175
98,mays.leyline,Asa Group: Security Through Vigilance,Arissana Rocha Nahu: Street Artist,12,2.442857142857141666666666666666666667,2.709523809523808333333333333333333333
99,NiCo,Pravdivost Consulting: Political Solutions,Hoshiko Shiro: Untold Protagonist,12,2.440816326530611428571428571428571429,2.784985422740522857142857142857142857
100,MaruXV,Issuaq Adaptics: Sustaining Diversity,Akiko Nisei: Head Case,12,2.175510204081631428571428571428571429,2.656073858114674285714285714285714286
101,lostgeek,Jinteki: Restoring Humanity,Rielle “Kit” Peddler: Transhuman,9,3.3428571428571425,3.0445918367346925
102,zombiak,Asa Group: Security Through Vigilance,Hoshiko Shiro: Untold Protagonist,9,3.057142857142856,2.745102040816326
103,AAshbo,Haas-Bioroid: Precision Design,Hoshiko Shiro: Untold Protagonist,9,2.867142857142856,2.751183673469386
104,Yidaho,Weyland Consortium: Built to Last,Arissana Rocha Nahu: Street Artist,9,2.857142857142856,2.693877551020406
105,cetti,Near-Earth Hub: Broadcast Center,Zahya Sadeghi: Versatile Smuggler,9,2.828571428571428,2.683129251700678
106,Zaphod75,Sportsmetal: Go Big or Go Home,Zahya Sadeghi: Versatile Smuggler,9,2.685714285714284,2.966802721088434
107,Nopius,Near-Earth Hub: Broadcast Center,Hoshiko Shiro: Untold Protagonist,9,2.657142857142856,2.790204081632652
108,Ams,Ampère: Cybernetics For Anyone,Nova Initiumia: Catalyst & Impetus,9,2.36,2.657918367346938
109,Krimo,Pravdivost Consulting: Political Solutions,Zahya Sadeghi: Versatile Smuggler,6,2.673469387755101428571428571428571429,2.617492711370261428571428571428571429
110,platypus2600,Weyland Consortium: Built to Last,Mercury: Chrome Libertador,6,2.642857142857141666666666666666666667,2.489455782312923333333333333333333333
111,Kevolus,Haas-Bioroid: Precision Design,Esâ Afontov: Eco-Insurrectionist,0,0,0
